"","season","round_number","team","elo"
"120",2000,8,"Hawthorn",1479.76962467542
"121",2000,8,"Port Adelaide",1388.87024660104
"122",2000,8,"Melbourne",1530.99018346196
"123",2000,8,"Geelong",1581.91801056884
"124",2000,8,"Richmond",1436.62410010379
"125",2000,8,"Carlton",1560.63738364378
"126",2000,8,"Sydney",1515.2029846949
"127",2000,8,"West Coast",1481.83743608158
"128",2000,8,"Western Bulldogs",1510.54642569102
"129",2000,9,"Fremantle",1447.48686568959
"130",2000,9,"Carlton",1587.80821283423
"131",2000,9,"Brisbane Lions",1516.54504806918
"132",2000,9,"Collingwood",1486.50945055607
"133",2000,9,"Melbourne",1537.66740443564
"134",2000,9,"Essendon",1725.51051570787
"135",2000,9,"Hawthorn",1527.41268967457
"136",2000,9,"Geelong",1528.44682583713
"137",2000,9,"Adelaide",1464.78207296678
"138",2000,9,"North Melbourne",1532.64766143007
"139",2000,9,"Sydney",1488.03215550444
"140",2000,9,"Port Adelaide",1382.19302562736
"141",2000,9,"Western Bulldogs",1501.29328190938
"142",2000,9,"St Kilda",1357.19753431139
"143",2000,9,"Richmond",1490.0952848355
"144",2000,9,"West Coast",1491.09057986322
"145",2000,10,"Essendon",1718.33197974653
"146",2000,10,"Adelaide",1469.5031213519
"147",2000,10,"Melbourne",1544.84594039698
"148",2000,10,"Brisbane Lions",1537.89553555189
"149",2000,10,"St Kilda",1371.89737044974
"150",2000,10,"Carlton",1609.49159640353
"151",2000,10,"Richmond",1499.06101081268
"152",2000,10,"Collingwood",1465.15896307336
"153",2000,10,"North Melbourne",1527.92661304495
"154",2000,10,"Fremantle",1425.8034821203
"155",2000,10,"Port Adelaide",1371.14796722274
"156",2000,10,"Geelong",1506.14377796916
"157",2000,10,"West Coast",1482.12485388604
"158",2000,10,"Hawthorn",1549.71573754255
"159",2000,10,"Western Bulldogs",1486.59344577103
"160",2000,10,"Sydney",1499.07721390907
"161",2000,11,"Sydney",1461.81287023397
"162",2000,11,"Brisbane Lions",1521.81966354365
"163",2000,11,"Geelong",1491.33942548699
"164",2000,11,"Essendon",1727.09648796441
"165",2000,11,"Adelaide",1460.73861313402
"166",2000,11,"Melbourne",1560.92181240522
"167",2000,11,"Carlton",1609.2612728148
"168",2000,11,"North Melbourne",1555.52627297476
"169",2000,11,"St Kilda",1372.12769403847
"170",2000,11,"Port Adelaide",1385.9523197049
"171",2000,11,"Hawthorn",1516.62479796708
"172",2000,11,"Richmond",1528.51641839139
"173",2000,11,"Collingwood",1435.70355549465
